,0,1
Teams,Left,Right
Florida A&M vs Niagara,69,77
Florida vs Jackson State,112,69
Florida vs Purdue,74,67
Arizona vs Purdue,63,72
Florida vs Butler,65,57
Butler vs Old Dominion,57,46
Butler vs Maryland,62,59
Maryland vs Davidson,82,70
Florida vs Oregon,85,77
Notre Dame vs Winthrop,64,74
Winthrop vs Oregon,61,75
Oregon vs Miami (Ohio),58,56
Oregon vs UNLV,76,72
UNLV vs Georgia Tech,67,63
UNLV vs Wisconsin,74,68
Wisconsin vs Texas A&M-CC,76,63
Kansas vs Niagara,107,67
Kansas vs Kentucky,88,76
Kentucky vs Villanova,67,58
Kansas vs Southern Illinois,61,58
Virginia Tech vs Illinois,54,52
Virginia Tech vs Southern Illinois,48,63
Southern Illinois vs Holy Cross,61,51
Kansas vs UCLA,55,68
Duke vs VCU,77,79
VCU vs Pittsburgh,79,84
Pittsburgh vs Wright State,79,58
Pittsburgh vs UCLA,55,64
Indiana vs Gonzaga,70,57
Indiana vs UCLA,49,54
UCLA vs Weber State,70,42
North Carolina vs Eastern Kentucky,86,65
North Carolina vs Michigan State,81,67
Marquette vs Michigan State,49,61
North Carolina vs USC,74,64
USC vs Arkansas,77,60
USC vs Texas,87,68
Texas vs New Mexico State,79,67
North Carolina vs Georgetown,84,96
Vanderbilt vs George Washington,77,44
Vanderbilt vs Washington State,78,74
Washington State vs Oral Roberts,70,54
Vanderbilt vs Georgetown,65,66
Boston College vs Texas Tech,84,75
Boston College vs Georgetown,55,62
Georgetown vs Belmont,80,55
Ohio State vs Central Connecticut State,78,57
Ohio State vs Xavier,78,71
BYU vs Xavier,77,79
Ohio State vs Tennessee,85,84
Tennessee vs Long Beach State,121,86
Tennessee vs Virginia,77,74
Virginia vs Albany,84,57
Ohio State vs Memphis,92,76
Louisville vs Stanford,78,58
Louisville vs Texas A&M,69,72
Texas A&M vs Penn,68,52
Texas A&M vs Memphis,64,65
Nevada vs Creighton,77,71
Nevada vs Memphis,62,78
Memphis vs North Texas,73,58
Florida vs UCLA,76,66
Florida vs Ohio State,84,75
Georgetown vs Ohio State,60,67
