,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
North Carolina,1,0.8947368421052632,+31.14,123.2,92.1,72.9,-.011
Connecticut,2,0.8611111111111112,+29.25,116.0,86.8,67.1,+.024
Pittsburgh,3,0.8611111111111112,+28.96,121.2,92.3,65.2,-.012
Memphis,4,0.8918918918918919,+28.67,112.8,84.2,65.9,-.009
Louisville,5,0.8378378378378378,+26.06,111.2,85.2,66.9,+.068
Missouri,6,0.8157894736842105,+24.81,116.6,91.8,70.9,+.031
Oklahoma,7,0.8333333333333334,+24.59,118.3,93.7,66.6,+.018
Gonzaga,8,0.8235294117647058,+24.51,117.5,93.0,67.1,+.003
Michigan St.,9,0.8157894736842105,+24.37,114.3,89.9,66.5,+.091
Duke,10,0.8108108108108109,+24.31,117.5,93.2,66.3,+.053
West Virginia,11,0.6571428571428571,+24.21,115.1,90.9,63.7,-.067
UCLA,12,0.7428571428571429,+23.93,119.5,95.6,65.3,-.030
Villanova,13,0.7894736842105263,+23.89,114.4,90.5,68.3,+.021
Kansas,14,0.7714285714285715,+23.83,114.5,90.7,67.2,-.013
Arizona St.,15,0.7142857142857143,+23.03,118.2,95.2,59.1,-.018
Syracuse,16,0.7368421052631579,+22.21,117.0,94.8,69.7,+.024
Washington,17,0.7428571428571429,+22.09,113.1,91.0,72.2,-.005
Purdue,18,0.7297297297297297,+21.84,110.5,88.7,65.9,-.012
Marquette,19,0.7142857142857143,+21.02,117.1,96.1,67.5,-.014
Xavier,20,0.7714285714285715,+20.24,111.0,90.8,65.8,-.008
BYU,21,0.7575757575757576,+20.10,114.0,93.9,69.0,-.046
Texas,22,0.6571428571428571,+19.65,112.2,92.5,65.4,-.048
Clemson,23,0.71875,+19.62,116.4,96.7,67.9,-.024
Wake Forest,24,0.7741935483870968,+18.88,111.6,92.7,72.8,+.051
Illinois,25,0.7058823529411765,+18.72,106.8,88.1,62.8,+.001
Oklahoma St.,26,0.6571428571428571,+18.33,116.4,98.1,69.3,-.003
USC,27,0.6285714285714286,+18.26,110.0,91.8,63.7,-.032
Utah,28,0.7058823529411765,+17.80,110.8,92.9,65.0,+.013
Wisconsin,29,0.6060606060606061,+17.62,113.3,95.7,59.1,-.052
California,30,0.6666666666666666,+17.37,116.8,99.4,66.0,+.001
Tennessee,32,0.6176470588235294,+16.48,115.1,98.7,67.7,-.032
Ohio St.,34,0.6666666666666666,+16.34,113.3,96.9,62.5,+.042
Arizona,37,0.6,+15.96,117.7,101.8,64.9,+.018
Butler,38,0.8125,+15.78,110.3,94.5,62.8,-.014
Florida St.,39,0.7142857142857143,+15.76,105.9,90.1,65.9,+.066
Minnesota,40,0.6666666666666666,+15.43,108.1,92.6,64.5,+.031
Utah St.,44,0.8571428571428571,+15.12,116.7,101.6,60.0,+.046
Texas A&M,45,0.7058823529411765,+15.01,113.1,98.1,63.9,+.053
LSU,46,0.7714285714285715,+14.86,111.5,96.6,66.1,+.075
Michigan,47,0.6,+14.75,112.2,97.5,62.5,+.014
Temple,50,0.6470588235294118,+14.38,109.9,95.5,63.5,-.005
VCU,54,0.7058823529411765,+13.62,110.1,96.4,65.8,-.073
Maryland,55,0.6,+13.55,110.0,96.4,66.3,+.039
North Dakota St.,61,0.7878787878787878,+12.29,114.3,102.0,67.5,-.009
Cleveland St.,66,0.7027027027027027,+11.96,105.3,93.3,63.7,+.009
Siena,67,0.7714285714285715,+11.93,110.3,98.4,70.7,+.031
Mississippi St.,69,0.6388888888888888,+11.55,107.8,96.2,67.2,-.004
Boston College,74,0.6470588235294118,+11.20,113.2,102.0,65.3,+.038
Dayton,78,0.7714285714285715,+10.23,103.3,93.0,64.5,+.107
Northern Iowa,83,0.6764705882352942,+9.70,110.6,100.9,60.8,+.051
Western Kentucky,88,0.7352941176470589,+8.10,111.1,103.0,65.6,+.092
Akron,95,0.6388888888888888,+6.90,102.9,96.0,64.8,-.014
Stephen F. Austin,101,0.75,+6.52,97.0,90.4,62.4,+.053
East Tennessee St.,105,0.6764705882352942,+5.67,106.4,100.7,69.6,-.048
Cornell,107,0.6774193548387096,+5.23,108.5,103.3,65.4,-.005
Cal St. Northridge,108,0.5483870967741935,+5.18,102.2,97.0,71.8,-.045
American,112,0.75,+4.70,105.3,100.6,60.7,+.093
Portland St.,118,0.696969696969697,+4.04,109.2,105.1,64.8,+.025
Robert Morris,146,0.6857142857142857,+1.49,102.0,100.6,66.0,+.055
Morgan St.,150,0.6571428571428571,+0.99,100.1,99.1,65.5,+.031
Morehead St.,157,0.5555555555555556,+0.76,102.0,101.3,65.3,+.015
Radford,176,0.6363636363636364,-0.86,101.2,102.1,69.2,+.076
Binghamton,177,0.71875,-0.98,102.3,103.3,67.2,+.130
Alabama St.,200,0.6875,-2.97,100.7,103.6,63.6,+.025
Chattanooga,213,0.5142857142857142,-4.04,104.3,108.4,69.5,+.041
